cluster1	interaction	cluster2
2.22.0	child	2.22.0.0
2	child	2.23
2.23	child	2.23.0
2.23.0	child	2.23.0.0
2	child	2.24
2	child	2.25
2.25	child	2.25.0
2.25.0	child	2.25.0.0
2	child	2.26
2.26	child	2.26.0
2.26.0	child	2.26.0.0
2	child	2.27
2	child	2.28
2	child	2.29
2.29	child	2.29.0
2.29.0	child	2.29.0.0
2.29.0	child	2.29.0.1
2.29.0	child	2.29.0.2
2	child	2.30
2.30	child	2.30.0
2.30.0	child	2.30.0.0
2	child	2.31
2.31	child	2.31.0
2.31.0	child	2.31.0.0
2.31.0	child	2.31.0.1
2.31.0	child	2.31.0.2
2	child	2.32
2.32	child	2.32.0
2.32.0	child	2.32.0.0
2	child	2.33
2.33	child	2.33.0
2.33.0	child	2.33.0.0
2.33.0	child	2.33.0.1
2.33.0	child	2.33.0.2
2	child	2.34
2.34	child	2.34.0
2.34.0	child	2.34.0.0
2	child	2.35
2	child	2.36
data	child	3
3	child	3.0
3.0	child	3.0.0
3.0.0	child	3.0.0.0
3.0.0	child	3.0.0.1
3.0.0	child	3.0.0.2
3.0.0	child	3.0.0.3
3.0.0	child	3.0.0.4
3.0.0	child	3.0.0.5
3.0.0	child	3.0.0.6
3.0.0	child	3.0.0.7
3.0.0	child	3.0.0.8
3.0.0	child	3.0.0.9
3.0.0	child	3.0.0.10
3.0.0	child	3.0.0.11
3.0.0	child	3.0.0.12
3.0.0	child	3.0.0.13
3.0.0	child	3.0.0.14
3.0.0	child	3.0.0.15
3.0.0	child	3.0.0.16
3.0.0	child	3.0.0.17
3.0.0	child	3.0.0.18
3.0.0	child	3.0.0.19
3.0.0	child	3.0.0.20
3.0.0	child	3.0.0.21
3.0.0	child	3.0.0.22
3.0.0	child	3.0.0.23
3.0.0	child	3.0.0.24
3.0.0	child	3.0.0.25
3.0.0	child	3.0.0.26
3.0.0	child	3.0.0.27
3.0.0	child	3.0.0.28
3.0.0	child	3.0.0.29
3.0.0	child	3.0.0.30
3.0.0	child	3.0.0.31
3.0.0	child	3.0.0.32
3.0.0	child	3.0.0.33
3.0.0	child	3.0.0.34
3.0.0	child	3.0.0.35
3.0.0	child	3.0.0.36
3.0.0	child	3.0.0.37
3.0.0	child	3.0.0.38
3.0.0	child	3.0.0.39
3.0.0	child	3.0.0.40
3.0.0	child	3.0.0.41
3.0.0	child	3.0.0.42
3.0.0	child	3.0.0.43
3.0	child	3.0.1
3.0.1	child	3.0.1.0
3.0.1	child	3.0.1.1
3.0	child	3.0.2
3.0	child	3.0.3
3.0.3	child	3.0.3.0
3.0.3	child	3.0.3.1
3.0	child	3.0.4
3.0.4	child	3.0.4.0
3.0.4	child	3.0.4.1
3.0.4	child	3.0.4.2
3.0	child	3.0.5
3.0.5	child	3.0.5.0
3.0	child	3.0.6
3.0	child	3.0.7
3.0.7	child	3.0.7.0
3.0.7	child	3.0.7.1
3.0	child	3.0.8
3.0	child	3.0.9
3.0	child	3.0.10
3.0	child	3.0.11
3.0	child	3.0.12
3.0	child	3.0.13
3.0.13	child	3.0.13.0
3.0	child	3.0.14
3.0.14	child	3.0.14.0
3	child	3.1
3.1	child	3.1.0
3.1.0	child	3.1.0.0
3.1.0	child	3.1.0.1
